vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,n_pending_infos,n_completed_infos,n_failed_infos,n_alive_nodes,n_failed_nodes,trial_maker_id,module_id,target_n_trials,participant_group,sync_group_type,sync_group_id,participant_id,async_post_grow_network_required,async_post_grow_network_requested,async_post_grow_network_complete,async_post_grow_network_failed,id_within_participant,n_all_trials,n_alive_trials,n_failed_trials,n_completed_trials,n_all_nodes,chain_type,head_id,trials_per_node,definition,context,block,class,object_type
{},36,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,36,1000000,{},,block-a,StaticNetwork,Network
{},37,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,37,1000000,{},,block-a,StaticNetwork,Network
{},38,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,38,1000000,{},,block-a,StaticNetwork,Network
{},39,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,39,1000000,{},,block-a,StaticNetwork,Network
{},40,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,40,1000000,{},,block-a,StaticNetwork,Network
{},41,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,41,1000000,{},,block-a,StaticNetwork,Network
{},42,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,42,1000000,{},,block-a,StaticNetwork,Network
{},43,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,43,1000000,{},,block-a,StaticNetwork,Network
{},44,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,44,1000000,{},,block-a,StaticNetwork,Network
{},45,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,45,1000000,{},,block-a,StaticNetwork,Network
{},46,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,46,1000000,{},,block-a,StaticNetwork,Network
{},47,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,47,1000000,{},,block-a,StaticNetwork,Network
{},48,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,48,1000000,{},,block-a,StaticNetwork,Network
{},49,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,49,1000000,{},,block-a,StaticNetwork,Network
{},50,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,1,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,12,1,12,1,across,50,1000000,{},,block-a,StaticNetwork,Network
{},51,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,51,1000000,{},,block-a,StaticNetwork,Network
{},52,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,52,1000000,{},,block-a,StaticNetwork,Network
{},53,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,53,1000000,{},,block-a,StaticNetwork,Network
{},54,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,54,1000000,{},,block-a,StaticNetwork,Network
{},55,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,55,1000000,{},,block-a,StaticNetwork,Network
{},56,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,56,1000000,{},,block-a,StaticNetwork,Network
{},57,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,57,1000000,{},,block-a,StaticNetwork,Network
{},58,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,58,1000000,{},,block-a,StaticNetwork,Network
{},59,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,59,1000000,{},,block-a,StaticNetwork,Network
{},60,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,60,1000000,{},,block-a,StaticNetwork,Network
{},61,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,61,1000000,{},,block-a,StaticNetwork,Network
{},62,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,62,1000000,{},,block-a,StaticNetwork,Network
{},63,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,63,1000000,{},,block-a,StaticNetwork,Network
{},64,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,64,1000000,{},,block-a,StaticNetwork,Network
{},65,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,65,1000000,{},,block-a,StaticNetwork,Network
{},66,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,66,1000000,{},,block-a,StaticNetwork,Network
{},67,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,67,1000000,{},,block-a,StaticNetwork,Network
{},68,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,68,1000000,{},,block-a,StaticNetwork,Network
{},69,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,69,1000000,{},,block-a,StaticNetwork,Network
{},70,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,70,1000000,{},,block-a,StaticNetwork,Network
{},71,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,71,1000000,{},,block-a,StaticNetwork,Network
{},72,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,72,1000000,{},,block-a,StaticNetwork,Network
{},73,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,73,1000000,{},,block-a,StaticNetwork,Network
{},74,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,74,1000000,{},,block-a,StaticNetwork,Network
{},75,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,75,1000000,{},,block-a,StaticNetwork,Network
{},76,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,76,1000000,{},,block-a,StaticNetwork,Network
{},77,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,77,1000000,{},,block-a,StaticNetwork,Network
{},78,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,78,1000000,{},,block-a,StaticNetwork,Network
{},79,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,79,1000000,{},,block-a,StaticNetwork,Network
{},80,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,80,1000000,{},,block-a,StaticNetwork,Network
{},81,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,81,1000000,{},,block-a,StaticNetwork,Network
{},82,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,12,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,12,12,0,12,1,across,82,1000000,{},,block-a,StaticNetwork,Network
{},83,2026-03-09 18:02:10,False,,,StaticNetwork,1,False,default,0,13,0,1,0,label_experiment,label_experiment,1000000,participant-group-1,,,,False,False,False,False,,13,13,0,13,1,across,83,1000000,{},,block-a,StaticNetwork,Network
